WKT,class_dbt,nome_dbt,tipo_dbt,dest_ind,sup_mq
"MULTIPOLYGON (((486900.4105 5057067.7734,486898.8571 5057066.5091,486897.3362 5057076.0233,486893.7993 5057082.9453,486883.9305 5057102.2571,486872.6305 5057124.0518,486872.1109 5057125.054,486865.5937 5057144.7678,486865.2281 5057145.8738,486863.4002 5057151.8627,486862.6662 5057154.0267,486863.1229 5057154.3905,486860.7276 5057165.1229,486859.2381 5057171.0746,486857.4705 5057177.0144,486856.6341 5057180.5373,486856.6341 5057184.8253,486858.5101 5057199.5653,486860.3861 5057211.4913,486860.7881 5057216.0473,486860.8204 5057226.3837,486861.0884 5057234.9597,486860.9202 5057237.6511,486860.3738 5057246.3943,486859.854 5057258.1983,486858.0673 5057286.785,486857.6207 5057294.4676,486860.1816 5057293.2663,486862.1469 5057258.873,486862.5936 5057252.7983,486863.0403 5057243.2396,486863.2189 5057241.453,486863.3083 5057221.9783,486863.2189 5057215.9036,486862.9509 5057210.8787,486859.9359 5057192.8557,486859.1319 5057182.2697,486859.3329 5057180.7287,486859.8689 5057178.1156,486862.0129 5057171.8176,486865.2289 5057157.1446,486865.6979 5057154.9336,486866.3009 5057152.3206,486867.3729 5057147.1616,486874.1399 5057125.8557,486882.5149 5057110.5126,486882.9839 5057108.9716,486889.2819 5057097.0456,486890.1529 5057094.7006,486895.6469 5057083.9807,486899.1309 5057077.2137,486900.5444 5057072.7985,486900.4774 5057071.3245,486900.3434 5057070.3865,486900.2094 5057069.5155,486901.2815 5057069.4485,486900.4105 5057067.7734)))",ac_cic,Area_di_circolazione_ciclabile,su sede stradale,trasporto - pedonale/ciclabile,"571"
"MULTIPOLYGON (((486911.2768 5057077.0858,486908.1177 5057075.6217,486905.4377 5057077.6317,486910.883 5057079.5623,486943.5006 5057100.069,486970.5784 5057117.0927,486970.7964 5057118.9717,486972.5718 5057119.8417,486972.7057 5057116.8937,486972.0842 5057115.9944,486940.2713 5057095.9321,486911.2768 5057077.0858)))",ac_cic,Area_di_circolazione_ciclabile,su sede stradale,trasporto - pedonale/ciclabile,"153"
"MULTIPOLYGON (((486657.1281 5056936.9666,486654.5782 5056935.3919,486652.4072 5056938.8044,486625.5484 5056981.0216,486589.5372 5057036.9181,486324.6485 5057448.0814,486323.6029 5057449.7045,486324.0654 5057450.2818,486326.3074 5057451.8178,486327.265 5057452.1925,486328.4793 5057450.298,486592.9314 5057037.7111,486630.0966 5056979.7286,486657.2365 5056937.104,486657.1281 5056936.9666)))",ac_cic,Area_di_circolazione_ciclabile,su sede stradale,trasporto - pedonale/ciclabile,"2278"
"MULTIPOLYGON (((486010.8964 5057446.1302,486006.7213 5057442.5356,486003.8603 5057446.3966,486008.7484 5057449.6262,486010.8964 5057446.1302)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"25"
"MULTIPOLYGON (((485768.5491 5058295.129,485768.3125 5058291.9803,485759.7026 5058292.7233,485750.7887 5058293.4883,485751.0905 5058296.6774,485768.5491 5058295.129)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"56"
"MULTIPOLYGON (((487154.649 5057120.5821,487157.484 5057113.1663,487161.7774 5057115.1219,487163.0841 5057115.5219,487166.0732 5057109.3777,487166.2687 5057107.4222,487165.3955 5057103.9162,487164.7625 5057103.0572,487163.8795 5057102.2722,487162.1066 5057101.3892,487156.7866 5057099.1823,487149.3957 5057095.9083,487142.5048 5057092.5724,487130.6299 5057086.3585,487114.0051 5057077.5266,487099.8263 5057069.7567,487098.5749 5057069.1567,487086.4745 5057063.3548,487085.3725 5057063.2648,487084.8335 5057063.5738,487084.4975 5057064.4208,487083.5438 5057066.1534,487071.6858 5057087.6946,487072.6318 5057088.2937,487085.8724 5057065.2409,487086.2324 5057064.7339,487092.9353 5057068.1828,487095.8963 5057069.7058,487102.0212 5057072.8547,487106.6851 5057075.2567,487126.2319 5057085.9205,487137.9753 5057092.2274,487141.8408 5057094.3034,487151.9967 5057099.0803,487159.111 5057102.1153,487161.5205 5057103.1432,487162.5515 5057103.6272,487163.4735 5057104.4012,487164.2705 5057105.3072,487164.8645 5057106.5182,487164.8175 5057108.9322,487162.542 5057113.7322,487155.87 5057111.1765,487148.6661 5057131.3176,487150.3106 5057131.931,487150.9491 5057130.2606,487154.1495 5057121.8888,487154.649 5057120.5821)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"252"
"MULTIPOLYGON (((486029.7619 5059172.6855,486029.7944 5059164.4147,486033.3181 5059164.4286,486033.3248 5059162.7366,486031.0348 5059162.7206,486024.0269 5059162.6936,486023.9809 5059172.6625,486029.7619 5059172.6855)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"64"
"MULTIPOLYGON (((486176.9073 5055732.3954,486176.7575 5055731.2521,486171.7369 5055734.1142,486140.8868 5055751.7003,486110.3862 5055769.7932,486088.7385 5055784.7731,486086.1835 5055786.621,486086.0215 5055786.74,486081.0566 5055790.387,486080.8396 5055790.547,486068.1217 5055800.2929,486057.5279 5055807.8239,486050.379 5055812.7648,486045.325 5055816.0538,486040.3091 5055819.1128,486022.7943 5055829.4137,486018.2089 5055832.0361,486016.274 5055833.1426,486014.4807 5055834.1682,486012.9425 5055835.0617,486012.0996 5055835.6015,485999.5986 5055843.6086,485993.77 5055847.1718,485991.032 5055848.8456,485983.7708 5055853.2845,485966.943 5055863.5495,485956.1531 5055870.0324,485932.3088 5055884.3583,485920.9977 5055891.1541,485920.2917 5055891.5783,485916.2556 5055894.0032,485917.2011 5055895.5444,485918.21 5055895.8471,485921.5716 5055893.7728,485929.3079 5055888.9992,485977.9831 5055859.7352,485999.8532 5055846.4047,486030.8895 5055828.1808,486041.4171 5055822.236,486054.7643 5055812.7865,486068.7547 5055802.4934,486090.4841 5055786.5829,486091.4874 5055785.8483,486104.0305 5055776.2301,486146.7576 5055750.1104,486172.3336 5055735.0828,486176.9073 5055732.3954)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"707"
"MULTIPOLYGON (((485704.9524 5057207.6062,485680.1717 5057197.0553,485680.1787 5057198.0903,485680.4707 5057198.6013,485681.2487 5057199.1123,485700.2256 5057207.1712,485709.5615 5057211.1661,485717.9804 5057213.8251,485718.8044 5057214.1291,485719.8584 5057213.2971,485709.9604 5057209.8172,485704.9524 5057207.6062)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"59"
"MULTIPOLYGON (((486189.6081 5058775.2217,486192.0769 5058749.393,486191.1571 5058749.6776,486185.8273 5058802.6013,486186.9764 5058802.7564,486188.466 5058787.1712,486189.6081 5058775.2217)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"55"
